Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
1,476201708;0,327254773;0,670078927;0,572331315;0,940034355
1,486284708;0,223184293;0,716619986;0,526958676;0,917082809
1,496368708;0,112957371;0,788086849;0,626532665;1,013105833
1,506452708;-0,026767366;0,826574538;0,771138986;1,130750766
1,516536708;0,071023223;0,788011273;0,835724992;1,15084418
1,526620708;0,394131425;0,540714397;0,757993861;1,011071873
1,536704708;0,775878886;0,289855105;0,726356916;1,10163442
1,546788708;1,003989951;0,113695892;1,025096426;1,439355849
1,556872708;0,911279862;0,000586183;1,490431296;1,746944984
1,566956708;0,822721076;0,031503482;1,911615595;2,081378539
1,577040708;1,092546982;0,08398809;2,553465042;2,778650145
1,587124708;0,82537542;0,060088181;3,304634618;3,406679487
1,597208708;0,310718189;0,326271271;3,765957713;3,792813762
1,607291708;-0,217964465;0,620434897;3,786798944;3,843474237
1,617375708;-0,591518186;0,619589389;3,200506232;3,313159356
1,627459708;-0,649360122;0,345999631;2,519434247;2,62467774
1,637543708;-0,742277934;-0,008481386;1,817573072;1,963318705
1,647627708;-0,81936419;-0,404344318;1,318436617;1,604096979
1,657711708;-0,66394052;-0,889349514;0,954698288;1,46397008
1,667795708;-0,521870502;-1,353095403;0,56976965;1,558157067
1,677879708;-0,564177629;-1,466737501;0,191722015;1,583152749
1,687963708;-0,698860896;-1,317292025;-0,337060407;1,528814753
1,698047708;-0,810683633;-1,279493576;-0,933845363;1,779432192
1,708131708;-0,876335585;-1,4084431;-1,308379406;2,112707433
1,718214708;-0,865394787;-1,557407058;-1,416021969;2,275860958
1,728298708;-0,91166629;-1,549278259;-1,294896896;2,215435966
1,738382708;-0,96308897;-1,447770303;-0,955895213;1,984266835
1,748466708;-0,993646373;-1,436506812;-0,66742049;1,869848936
1,758550708;-0,898392745;-1,421677542;-0,505157917;1,755978667
1,768634708;-0,641537279;-1,321796281;-0,328711168;1,505578467
1,778718708;-0,39623222;-1,213838846;-0,313993726;1,31491322
1,788802708;-0,271062519;-1,150483534;-0,274913276;1,213533914
